Date,Price,Returns
2023-06-05,4298.8599,0.0
2023-06-12,4409.5898,0.02575796899080134
2023-06-20,4348.3301,0.011507748833591843
2023-06-26,4450.3799,0.03524655455740707
2023-07-03,4398.9502,0.023282987193883622
2023-07-10,4505.4199,0.048049949243519074
2023-07-17,4536.3398,0.05524253069982563
2023-07-24,4582.23,0.06591750059126122
2023-07-31,4478.0298,0.04167846921459335
2023-08-07,4464.0498,0.03842644418349139
2023-08-14,4369.71,0.016481137242923327
2023-08-21,4405.71,0.02485545062773496
2023-08-28,4515.77,0.050457587603634176
2023-09-05,4457.4902,0.036900551236852305
2023-09-11,4450.3198,0.03523257410645084
2023-09-18,4320.0601,0.004931586628352162
2023-09-25,4288.0498,-0.002514643475587702
2023-10-02,4308.5,0.0022424782905810956
2023-10-09,4327.7798,0.006727341823817024
2023-10-16,4224.1602,-0.017376630487539294
2023-10-23,4117.3701,-0.042218123926299686
2023-10-30,4358.3398,0.013836203408257003
2023-11-06,4415.2402,0.027072364000510878
2023-11-13,4514.02,0.05005050292520583
2023-11-20,4559.3398,0.060592786473455285
2023-11-27,4594.6299,0.0688019630507148
2023-12-04,4604.3701,0.07106772658490212
2023-12-11,4719.1899,0.09777708736216313
2023-12-18,4754.6299,0.10602113364987761
2023-12-26,4769.8301,0.10955700138076138
2024-01-02,4697.2402,0.09267115218153534
2024-01-08,4783.8301,0.11281367880818813
2024-01-16,4839.8101,0.12583573612157012
2024-01-22,4890.9702,0.13773658918263407
2024-01-29,4958.6099,0.15347092376748542
2024-02-05,5026.6099,0.1692890712721296
2024-02-12,5005.5698,0.16439472707635802
2024-02-20,5088.7998,0.18375567438240994
2024-02-26,5137.0801,0.19498662889665228
2024-03-04,5123.6899,0.1918718030331716
2024-03-11,5117.0898,0.1903364889839744
2024-03-18,5234.1802,0.21757403631600075
2024-03-25,5254.3501,0.22226595474767605
2024-04-01,5204.3398,0.21063256795133037
2024-04-08,5123.4102,0.19180673927056796
2024-04-15,4967.23,0.15547612984549675
2024-04-22,5099.96,0.18635175805566484
2024-04-29,5127.79,0.19282556754175673
2024-05-06,5222.6802,0.2148989084291859
2024-05-13,5303.27,0.23364569289638865
2024-05-20,5304.7202,0.23398303815390664
2024-05-28,5277.5098,0.22765335990596003
2024-06-03,5283.3999,0.22902351388562345
