Code,60 Days,120 Days,1 Year
ITRN,-0.015306122448979654,0.05812646608473632,0.13879183542729978
NVEC,-0.09718140127718679,-0.02557236816174692,-0.15124815470672995
PERI,-0.4197473093121198,-0.5820694304010786,-0.6019261637239166
NTES,-0.0807744265938645,-0.11399333722650719,-0.009447078656119814
KSPI,0.005908162481522282,0.45954687404044525,0.7646136796746315
IMOS,-0.12010443864229764,0.019667170953101346,0.08265265964709376
ASX,0.007326007326007333,0.20879120879120883,0.3988148223505175
EEFT,0.08754334989221112,0.13498972904235543,0.02085166285412638
MOMO,-0.0036398396999889776,0.018548099148704266,-0.32328667923538884
KARO,0.13543670642554842,0.1813450760608487,0.3059602414543911
CINT,0.0,0.046511627906976785,-0.18032786885245905
SONY,-0.01123595505617981,-0.1405154439916273,-0.1588817957269988
TSM,0.10947948794934093,0.3096948643224346,0.5809769847882205
TME,0.26026213452398095,0.5256527614314983,0.8395395895198802
IMMR,0.34836669029830397,0.44637164000117013,0.2872575816738254
WIT,-0.0834782608695653,-0.08665511265164645,0.09565687436329233
ERIC,0.20656370656370662,0.20516775935210183,0.2795577848295629
TASK,0.3240072202166065,0.2225,0.23277310924369743
BELFA,0.18546491335046267,0.1950046347584273,0.6526842194745881
GSPC,0.026458974862109824,0.0689061066699691,0.2333297796764646
